Category,Fact
Status,Endangered
Current Population,> 1000
Habitat,Forests high in the mountains
Cause of Status,"Habitat loss, disease, charcoal making, war"
Climate change impacts,Minimal
Human-Wildlife conflict,"Land clearing for agriculture and livestock, war, poaching, and gorrillas being forced higher into the mountains by encroaching war refugees. Gorillas that come into contact with humans can be vulnerable to human diseases."
Poaching and illegal wildlife trade:,Poaching and accidental capture from poachers seeking other animals.
Organizations that help:,World Wildlife Fund
What can humans do to help:,A symbolic animal adoption. NFT purchase
Sources:,https://www.worldwildlife.org/species/mountain-gorilla
