Category,Fact
Status,Critically Endangered
Current Population,68
Habitat,"Tropical and subtropical grasslands, savannas and shrublands, tropical moist forests, deserts and shrublands "
Cause of Status,"Natural catastrophes, habitat loss, diseases, poaching, and potential inbreeding."
Climate change impacts,Effects of climate change: Minimal
Human-Wildlife conflict,"Habitat loss due to expanding human population. As human populations rise and cities grow, logging, agriculture, roads, and settlements destroy rhino habitats."
Poaching and illegal wildlife trade:,Growing consumer demand for rhino horn has driven the unsustainable increase in poaching across Africa and Asia.
Organizations that help:,"The African Wildlife Federation, World Wildlife Fund. These organizations engage the public, recruit wildlife scouts, give rinos a sanctuary, and work with the legal system."
What can humans do to help:,"Make a symbolic rhino adoption , Sign an online petition through to help prevent wildlife crime. A NFT purchase"
Sources:,https://www.pbs.org/wnet/nature/blog/rhinoceros-fact-sheet/?gclid=EAIaIQobChMIpZrU8-6y-QIVvMLCBB0qPw9TEAMYASAAEgLQkPD_BwE  https://www.awf.org/wildlife-conservation/rhinoceros
