Category,Fact
Status,Vulnerable
Current Population,"1,864"
Habitat,Temperment forests high in the mountains of SouthWest China.
Cause of Status,Infastructure development and forest loss is isolating and fragmentating panda populations.
Climate change impacts,Minimal
Human-Wildlife conflict,"Hunting, poaching and accidental capture in snares set for other animals."
Poaching and illegal wildlife trade:,"Poaching, hunting and accidental capture"
Organizations that help:,"World Wildlife Fund, increasing Panda habitat protection, patrolling against poaching, illegal logging, nature reserve management, and momitoring "
What can humans do to help:,A symbolic animal adoption. A NFT purchase
Sources:,https://www.worldwildlife.org/species/giant-panda
